         353753155 function calls (351787173 primitive calls) in 56032.253 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 42593.901 42593.901 42617.337 42617.337 {built-in method exec_}
    30000 13208.960    0.440 13386.685    0.446 bmm.py:33(step)
    30106    0.026    0.000    0.026    0.000 {method 'astype' of 'numpy.ndarray' objects}
    30004    0.024    0.000    0.024    0.000 linalg.py:199(_assert_stacked_square)
        1    0.024    0.024    0.024    0.024 {built-in method show}
    30003    0.024    0.000    0.123    0.000 <__array_function__ internals>:2(ravel)
     2704    0.021    0.000    0.037    0.000 inspect.py:626(cleandoc)
3307/1712    0.021    0.000    0.075    0.000 transforms.py:2366(get_affine)
    30236    0.020    0.000    0.166    0.000 fromnumeric.py:2638(amax)
    30004    0.020    0.000    0.020    0.000 linalg.py:193(_assert_stacked_2d)
        1    0.020    0.020    0.045    0.045 backend_qt5.py:535(__init__)
     6962    0.020    0.000    0.051    0.000 transforms.py:1832(__init__)
    30004    0.018    0.000    0.028    0.000 linalg.py:125(_realType)
      436    0.017    0.000    0.019    0.000 {built-in method matplotlib._path.point_in_path}
      461    0.016    0.000    0.136    0.000 patches.py:761(_update_patch_transform)
        1    0.015    0.015    0.015    0.015 {built-in method sizeHint}
     3261    0.014    0.000    0.040    0.000 transforms.py:2276(__init__)
     8700    0.014    0.000    0.023    0.000 transforms.py:1702(__init__)
 1111/969    0.014    0.000    0.085    0.000 {built-in method builtins.__build_class__}
    30070    0.014    0.000    0.101    0.000 _methods.py:60(_all)
    13594    0.014    0.000    0.014    0.000 transforms.py:107(__init__)
     2054    0.013    0.000    0.187    0.000 transforms.py:1399(transform)
     1409    0.013    0.000    0.013    0.000 {built-in method posix.stat}
      436    0.013    0.000    0.361    0.001 backend_bases.py:1304(__init__)
     3910    0.013    0.000    0.013    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      430    0.012    0.000    0.012    0.000 {built-in method setText}
      317    0.012    0.000    0.012    0.000 {built-in method builtins.compile}
      430    0.012    0.000    0.372    0.001 backend_bases.py:1425(__init__)
     1710    0.012    0.000    0.102    0.000 transforms.py:2183(get_affine)
    30236    0.012    0.000    0.190    0.000 <__array_function__ internals>:2(amax)
      577    0.011    0.000    0.012    0.000 transforms.py:375(bounds)
    30004    0.011    0.000    0.011    0.000 linalg.py:472(_unary_dispatcher)
    30041    0.011    0.000    0.053    0.000 _methods.py:54(_any)
    31056    0.010    0.000    0.010    0.000 fromnumeric.py:70(<dictcomp>)
    60000    0.010    0.000    0.010    0.000 function_base.py:4758(_append_dispatcher)
    60090    0.009    0.000    0.009    0.000 multiarray.py:148(concatenate)
2290/1145    0.009    0.000    0.040    0.000 transforms.py:2374(inverted)
    30004    0.009    0.000    0.009    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
      117    0.009    0.000    0.009    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      443    0.009    0.000    0.024    0.000 backend_qt5.py:290(mouseEventCoords)
    60000    0.009    0.000    0.009    0.000 multiarray.py:341(where)
      430    0.009    0.000    0.349    0.001 backend_bases.py:2984(mouse_move)
     2297    0.009    0.000    0.062    0.000 transforms.py:1765(frozen)
      431    0.008    0.000    0.009    0.000 {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
    13673    0.008    0.000    0.008    0.000 transforms.py:1865(get_matrix)
  878/439    0.008    0.000    0.089    0.000 transforms.py:2296(frozen)
        8    0.007    0.001    0.008    0.001 backend_qt5.py:705(_icon)
    21891    0.007    0.000    0.007    0.000 {built-in method builtins.id}
    30003    0.007    0.000    0.007    0.000 fromnumeric.py:1714(_ravel_dispatcher)
     1910    0.007    0.000    0.036    0.000 transforms.py:2433(composite_transform_factory)
    14190    0.007    0.000    0.007    0.000 {method 'pop' of 'dict' objects}
     2212    0.007    0.000    0.017    0.000 transforms.py:1794(transform_affine)
      788    0.007    0.000    0.016    0.000 transforms.py:766(__init__)
      381    0.007    0.000    0.145    0.000 _base.py:3676(format_xdata)
      568    0.007    0.000    0.010    0.000 inspect.py:2909(_bind)
      256    0.007    0.000    0.007    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
      463    0.006    0.000    0.360    0.001 __init__.py:213(process)
      430    0.006    0.000    0.739    0.002 backend_bases.py:1880(motion_notify_event)
  460/189    0.006    0.000    0.016    0.000 sre_parse.py:493(_parse)
    10226    0.006    0.000    0.013    0.000 transforms.py:200(<lambda>)
      430    0.006    0.000    0.768    0.002 backend_qt5.py:321(mouseMoveEvent)
     2574    0.006    0.000    0.006    0.000 {built-in method posix.lstat}
     8184    0.006    0.000    0.042    0.000 __init__.py:686(__getitem__)
     2212    0.006    0.000    0.006    0.000 {built-in method matplotlib._path.affine_transform}
       18    0.006    0.000    0.006    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      430    0.006    0.000    0.027    0.000 backend_qt5.py:765(set_message)
      942    0.006    0.000    0.012    0.000 transforms.py:1969(translate)
      429    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
      381    0.006    0.000    0.162    0.000 _base.py:3686(format_ydata)
74634/73617    0.006    0.000    0.006    0.000 {built-in method builtins.len}
4773/2628    0.006    0.000    0.007    0.000 transforms.py:2334(<lambda>)
       17    0.006    0.000    0.006    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
      477    0.006    0.000    0.006    0.000 {method 'compress' of 'zlib.Compress' objects}
      604    0.006    0.000    0.056    0.000 fromnumeric.py:38(_wrapit)
      466    0.006    0.000    0.007    0.000 transforms.py:363(height)
  399/398    0.005    0.000    0.043    0.000 transforms.py:1710(__eq__)
      497    0.005    0.000    0.023    0.000 transforms.py:1921(rotate)
      436    0.005    0.000    0.278    0.001 patches.py:153(contains_point)
        7    0.005    0.001    0.005    0.001 {method 'copy_from_bbox' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      898    0.005    0.000    0.014    0.000 transforms.py:2387(__init__)
      383    0.005    0.000    0.005    0.000 __init__.py:1817(_topmost_artist)
      429    0.005    0.000    0.005    0.000 {built-in method io.open_code}
1979/1600    0.005    0.000    0.005    0.000 transforms.py:158(_invalidate_internal)
     4197    0.004    0.000    0.005    0.000 transforms.py:1815(inverted)
      436    0.004    0.000    0.296    0.001 backend_bases.py:1950(inaxes)
     1012    0.004    0.000    0.020    0.000 transforms.py:2527(get_matrix)
     1600    0.004    0.000    0.009    0.000 transforms.py:148(invalidate)
     4395    0.004    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
      663    0.004    0.000    0.011    0.000 inspect.py:2152(_signature_from_function)
      876    0.004    0.000    0.009    0.000 ticker.py:279(fix_minus)
      436    0.004    0.000    0.112    0.000 path.py:497(contains_point)
    24184    0.004    0.000    0.004    0.000 {built-in method builtins.min}
      898    0.004    0.000    0.013    0.000 transforms.py:2422(get_matrix)
      593    0.004    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
        1    0.004    0.004    0.017    0.017 font_manager.py:1316(_findfont_cached)
     2688    0.004    0.000    0.006    0.000 posixpath.py:71(join)
        7    0.004    0.001    0.004    0.001 {built-in method drawImage}
        7    0.004    0.001    0.004    0.001 {built-in method eraseRect}
      430    0.004    0.000    0.004    0.000 weakref.py:69(__call__)
     1524    0.004    0.000    0.119    0.000 transforms.py:1436(transform_affine)
      528    0.004    0.000    0.045    0.000 transforms.py:815(from_extents)
      674    0.004    0.000    0.060    0.000 fromnumeric.py:51(_wrapfunc)
    36480    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
      762    0.003    0.000    0.038    0.000 transforms.py:2179(inverted)
